date,StockCode,open,high,low,close,volume,Type,Title,PublishTime,URL,Head,Content,ArticleID,Page
2025-07-07,BID,36.25,36.79,36.25,36.79,11244684,Tin mới nhất,CBTT về việc đăng ký giao dịch trái phiếu BID12509 của Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,2025-07-07 00:00:00,/2025/07/cbtt-ve-viec-dang-ky-giao-dich-trai-phieu-bid12509-cua-ngan-hang-tmcp-dau-tu-va-phat-trien-viet-nam-3118-1325696.htm,,,1325696.0,39.0
2025-07-07,BID,36.25,36.79,36.25,36.79,11244684,Tin mới nhất,CBTT về việc đăng ký giao dịch trái phiếu BID12510 của Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,2025-07-07 00:00:00,/2025/07/cbtt-ve-viec-dang-ky-giao-dich-trai-phieu-bid12510-cua-ngan-hang-tmcp-dau-tu-va-phat-trien-viet-nam-3118-1325697.htm,,,1325697.0,39.0
2025-07-07,BID,36.25,36.79,36.25,36.79,11244684,Tin mới nhất,CBTT về việc đăng ký giao dịch trái phiếu BID12513 của Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,2025-07-07 00:00:00,/2025/07/cbtt-ve-viec-dang-ky-giao-dich-trai-phieu-bid12513-cua-ngan-hang-tmcp-dau-tu-va-phat-trien-viet-nam-3118-1325698.htm,,,1325698.0,39.0
2025-07-07,BID,36.25,36.79,36.25,36.79,11244684,Tin mới nhất,CBTT về việc đăng ký giao dịch trái phiếu BID12511 của Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,2025-07-07 00:00:00,/2025/07/cbtt-ve-viec-dang-ky-giao-dich-trai-phieu-bid12511-cua-ngan-hang-tmcp-dau-tu-va-phat-trien-viet-nam-3118-1325701.htm,,,1325701.0,39.0
2025-07-07,BID,36.25,36.79,36.25,36.79,11244684,Trái phiếu doanh nghiệp,CBTT về việc đăng ký giao dịch trái phiếu BID12501 của Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,2025-07-07 00:00:00,/2025/07/cbtt-ve-viec-dang-ky-giao-dich-trai-phieu-bid12501-cua-ngan-hang-tmcp-dau-tu-va-phat-trien-viet-nam-3118-1325686.htm,,,1325686.0,17.0
2025-07-07,BID,36.25,36.79,36.25,36.79,11244684,Trái phiếu doanh nghiệp,CBTT về việc đăng ký giao dịch trái phiếu BID12502 của Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,2025-07-07 00:00:00,/2025/07/cbtt-ve-viec-dang-ky-giao-dich-trai-phieu-bid12502-cua-ngan-hang-tmcp-dau-tu-va-phat-trien-viet-nam-3118-1325687.htm,,,1325687.0,17.0
2025-07-07,BID,36.25,36.79,36.25,36.79,11244684,Trái phiếu doanh nghiệp,CBTT về việc đăng ký giao dịch trái phiếu BID12503 của Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,2025-07-07 00:00:00,/2025/07/cbtt-ve-viec-dang-ky-giao-dich-trai-phieu-bid12503-cua-ngan-hang-tmcp-dau-tu-va-phat-trien-viet-nam-3118-1325689.htm,,,1325689.0,17.0
2025-07-07,BID,36.25,36.79,36.25,36.79,11244684,Trái phiếu doanh nghiệp,CBTT về việc đăng ký giao dịch trái phiếu BID12504 của Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,2025-07-07 00:00:00,/2025/07/cbtt-ve-viec-dang-ky-giao-dich-trai-phieu-bid12504-cua-ngan-hang-tmcp-dau-tu-va-phat-trien-viet-nam-3118-1325690.htm,,,1325690.0,17.0
2025-07-07,BID,36.25,36.79,36.25,36.79,11244684,Trái phiếu doanh nghiệp,CBTT về việc đăng ký giao dịch trái phiếu BID12505 của Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,2025-07-07 00:00:00,/2025/07/cbtt-ve-viec-dang-ky-giao-dich-trai-phieu-bid12505-cua-ngan-hang-tmcp-dau-tu-va-phat-trien-viet-nam-3118-1325691.htm,,,1325691.0,17.0
2025-07-07,BID,36.25,36.79,36.25,36.79,11244684,Trái phiếu doanh nghiệp,CBTT về việc đăng ký giao dịch trái phiếu BID12508 của Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,2025-07-07 00:00:00,/2025/07/cbtt-ve-viec-dang-ky-giao-dich-trai-phieu-bid12508-cua-ngan-hang-tmcp-dau-tu-va-phat-trien-viet-nam-3118-1325692.htm,,,1325692.0,18.0
